Experiment 1_26 By Biosemi,,,,Experiment 2_29 By ANT,,,,Experiment 3_39 By BP,,,,Experiment 4_30 By ANT,,,,Experiment 5_65 By Ant,,,,Experiment 6_95 By BP,,,,Experiment 7_142 By Biosemi,,,,Experiment 8_223 By BP(Fp1 and Fp2 are damaged),,,,Experiment 9_29 By BP,,,
sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad electrode,bad epoch,bad ica,sub_id,bad epoch,bad electrode,bad ica
1,5 11 15,\,1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 18 20,1,\,T7 T8 CP6 O2,1   2   3   4   6   7   8   9  10  12  13  14  15  16  17  18  20  21  22  25  31  32,1,\,\,1 4 5 6 7 8 9 12 13 15 16 20 21,1,\,\,1 2 4 6 7 9 12,1,\,T8,1 2 14 17 21 23,1,\,\,2 10 12 14 15 21 22 28 30 31 33 34 35,1,\,\,1   2   3   4   5   6   7   8   9  10  11  12  16  21  24,1, T8,2 5,1 3 4 5 9 10 13 16 18 19 20 ,1,63 79 94 ,T7 Fp1,1 6 9 13 14 15 17 22 23 25 30
2,\,\,1 2 7 8 9 30,2,112,O1,1   2   3   4   5   6   7   8  10  11  12  13  14  15  18  20  21  22  23  24  25  27  28  29  30  32,2,\,T8,1 2 4 8 9 10 13 21 25 27,2,20,T7 T8 CP5,1 2 3 4 5 10 14,2,20,T7 T8,1 2 3 4 5 7 8 12 14,2,25 28 49 58 61 62 66 70 72 76 79,Fpz Fp2,1 8 9 10 11 12 15 16 17 18 21 22 23 24 26 29 33,2,29,\,1   4   6  11  22  28,2, T7,1 3 7 20 30,1 13 15 16 17 18,2,57 59 ,T7,1 2 3 4 5 6 7 8 9 10 11 12 16 17 18
3,\,\,9 12 14 15 16 21 26,3,\,\,1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  21  22  23  27  28  30,3,\,\,1 2 4 7 10 16 18 19,3,\,M1 M2 T7 T8,1 2 3 4 8 10 11 12 13 15 16 17 18,3,17,T7 M2,1 2 3 4 9 12 14 15 17 18,3,79 80,Fpz Fp2 AF4,2 3 5 7 10 16 18 25 26 33 34,3,\,\,1  2  4  5  7  8  9,3, TP9,1 2 3 12 28,1 5 8 14 15 16,3,\,\,1 4 5 7 8 12 23 24 30
4,11 12 14 13,\,1 2 3 4 5 10 13 16 19 33,4,\,\,1   2   3   4   6   7   8   9  10  11  12  15  16  18  19  21  23  26  27  28  31  32,4,\,O1 O2,1 2 4 6 8 10 22 29,4,14 21 24 27,M1 T7 T8 M2,1 2 3 4 5 6 8 9 12 19 20,4,\,T7 T8,1 2 3 4 7 22,4,18 22 28 40 50 62,Fpz T7 Tp7,3 4 5 12 19 20 21 23 24 28 33 34,4,\,P7,1   2   3   4  10  13  14  15,4, TP10 T8 FT8,1 17 23,2 3 4 9 12 17 18,4,31,\,1 2 3 6 7 9 10 12
5,\,Fpz,1 2 3 4 5 6 8 9 14 15 16 17 23 29 30 32 33,5,55 77 130 131 132,\,1   2   3   4   5   6   7   8   9  12  15  16  17  18  19  20  21  22  25  26  27  28  30  31,5,\,\,1 3 5 6 7 8 12,5,13,T7 T8 ,1 2 4 6 7 10 14,5,\,M1 T7 T8 M2,1 2 3 5 7 8,5,60 73 74,Fpz Fp2,1 2 36 8 12 14 15 22 23 27,5,1 2,F7 TP7 T8,2   4   5   7   9  11  12  13  14  17  21  22  23  26  29,5, T7 T8 FT7,1 2 3,1 2 3 5 8 9 10 12 13 17 18 20,5,13 14 15 73 117 140,T7,1 4 6 7 8 13 21 23 24 28 29
6,2 3 4 5 6 7 8 9 11 12 13 14,\,1 2 3 4 5 7 9 13 14 15 16 17 18 19 20 21 22 23 28 33,6,\,\,1   2   3   4   7   8  12  13  14  16  18  20  21  23  31,6,\,TP9,1 2 3 4 5 8 9 16 22 27 28 29 30 33 35,6,\,M1 T7 T8,1 2 3 5 11 21,6,6,M1 T7 T8 M2,1 2 7 11 19 24 25,6,10 18 49 53 54 58 61 62 71 75 79,Fpz Fp2 T8,1 2 5 6 15 16 17 23 25 26 28 29 31,6,\,FC6 C6,1   2   3  24,6, Oz T7 AF3 O1 O2 FC3,\,2 3 4 5 6 7 8 10 12 14 15 16 17 19 20,6,\, T7 T8 O2 ,1 8 11 14 15 17 18 21 22 23 26 27 30
7,3 4 5 7 8,TP7 Fpz,1 2 3 4 5 6 7 8 11 12 14 15 30,7,\,O1 Oz,1   2   3   4   5   6   7   8  11  14  15  16  17  18  23  24  25  26  27  31  32,7,1 2,FC5,1 2 4 5 6 8 9 10 11 13 14 17 19 20 25 34,7,\,M1 M2 O2 Oz,1 2 3 4 5 6 7,7,\,Fp1 Fp2 Pz T8 M2,1 3 6 7 18 19,7,58,Fpz Fp2 Fp1,1 2 3 4 7 8 10 16 17 19 21 24 25 28 31 34,7,\,\,1   2   3   4   5   8  11  14  15,7, T8 IO AF3 Fpz C1,2 3,1 2 3 4 5 7 8 9 10 13 14 15 16 17 18 20,7,1 92 103 109 ,C5 T7 P7 FT8 T8,1 2 4 5 12
8,4 5 6 7 8 9 11,T7 T8,1 2 3 4 5 6 7 8 9 10 11 12 13 16 18,8,\,\,1   2   4   5   6   8  11  12  16  18  19  20  22  23  25  26  28,8,\,\,1 2 3 4 5 12 15 25 30 35,8,5 13 25, Fp1 Fp2 T8 M2,1 2 3 4 5 12 17 19,8,14,Fp1 Fp2 Fpz T7 T8 M1 M2,2 3 4 5 8,8,41 76,Fpz Fp2 T7 T8,2 3 9 31 ,8,4,\,1   2   3   4   7  12  18  19  27  28,8,,\,1 4 6 8 15 16 19 20,8,\,\,1 4 5 7 9 10 12 17 21 22
9,1 2 16,T7,1 2 3 4 5 6 7 17 20,9,\,\,1   2   3   4   5   6   7   8   9  10  12  13  16  17  19  20  22  23  24  25  27  29  30  31  32,9,1 5,\,1 2 3 5 6 9 12 13 14 15 21 24 28 31,9,\,\,1 2 6 8 12 13 14,9,14 15 20,M2 CP5 ,1 2 3 4 5 6 8,9,\,Fpz Fp2 T8,12 8 13 14 15 20 22 23 24 25,9,23,Oz,1   2   3   5   6   8  10  15,9, TP9 TP10 C5 Fpz,1 12 20,1 2 3 4 7 12 13 15 17 20,9,7,T7 TP7,2 3 5 6 9 10 14 19 22
10,4 5 6 7 8 10 11 13 14,AF7 T8 T7,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 30,10,41 42 44 ,\,1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  20  21  22  23  24  25  26  27  28  29  30  31  32,10,\,\,1 3 4 8 24,10,17,T7 ,1 2 4 16 17 19 20,10,\,M1 M2,1 2 4 5 8 10 13 17 18 19 21 23 25,10,33 70 72 73 76 78 80,Fpz Fp2 T7 T8 TP7 TP8,1 2 6 7 8 9 11 12 16 17 18 19 20 21 22 23 24 25 26,10,19,T7 T8,1   2   3   4   6   8   9  11  13  14  19  20  21  31,10, T7 T8 TP7 TP8,2 4 20 29,1 9 10 16 20,10,3,\,4 5 6 8 11 14 16 17 21 27 28
